year,name,fraction,sex,rank
2009,Sienna,0.000827,f,197
2009,Mario,0.000914,m,198
2009,Nora,0.000825,f,198
2009,Cesar,0.000906,m,199
2009,Clara,0.000814,f,199
2009,Stephen,0.000904,m,200
2009,Alexandria,0.000811,f,200
2009,Edgar,0.0009,m,201
2009,Josephine,0.000803,f,201
2009,Sawyer,0.000894,m,202
2009,Amaya,0.000789,f,202
2009,Jaxson,0.000879,m,203
2009,Valentina,0.000783,f,203
2009,Hector,0.00087,m,204
2009,Breanna,0.000781,f,204
2009,Johnathan,0.000868,m,205
2009,Ariel,0.000777,f,205
2009,Roman,0.000866,m,206
2009,Eden,0.000775,f,206
2009,Trenton,0.000865,m,207
2009,Tessa,0.000775,f,207
2009,Landen,0.000864,m,208
2009,Alicia,0.000771,f,208
2009,Shawn,0.000852,m,209
2009,Jazmin,0.000762,f,209
2009,Leo,0.000849,m,210
2009,Elise,0.000753,f,210
2009,Israel,0.000838,m,211
2009,Haylee,0.000751,f,211
2009,Brendan,0.000831,m,212
2009,Kelsey,0.000751,f,212
2009,Kai,0.000829,m,213
2009,Kathryn,0.000749,f,213
2009,Jared,0.000827,m,214
2009,Sabrina,0.000746,f,214
2009,Donovan,0.000821,m,215
2009,Carly,0.000745,f,215
2009,Jeffrey,0.000811,m,216
2009,Mckenna,0.000744,f,216
2009,Spencer,0.000799,m,217
2009,Aurora,0.000735,f,217
2009,Braylon,0.000799,m,218
2009,Eleanor,0.000734,f,218
2009,Andy,0.000783,m,219
2009,Mariana,0.000731,f,219
2009,Raymond,0.000777,m,220
2009,Alexia,0.000727,f,220
2009,Andre,0.000776,m,221
2009,Christina,0.000726,f,221
2009,Ty,0.000775,m,222
2009,Lola,0.000723,f,222
2009,Avery,0.000769,m,223
2009,Cadence,0.00072,f,223
2009,Ezekiel,0.000761,m,224
2009,Jazmine,0.00072,f,224
2009,Tucker,0.00076,m,225
2009,Addyson,0.000719,f,225
2009,Kingston,0.00076,m,226
2009,Melody,0.000717,f,226
2009,Sergio,0.000757,m,227
2009,Alison,0.000715,f,227
2009,Keegan,0.000753,m,228
2009,Alondra,0.000715,f,228
2009,Mateo,0.000752,m,229
2009,Kayleigh,0.000715,f,229
2009,Drake,0.000748,m,230
2009,Karen,0.000708,f,230
2009,Calvin,0.000743,m,231
2009,Hope,0.000706,f,231
2009,Griffin,0.000734,m,232
2009,Chelsea,0.000706,f,232
2009,Erik,0.000733,m,233
2009,Maggie,0.000705,f,233
2009,Martin,0.000719,m,234
2009,Laura,0.000697,f,234
2009,Zane,0.000717,m,235
2009,Allie,0.000695,f,235
2009,Chance,0.000716,m,236
2009,Bianca,0.00069,f,236
2009,Tyson,0.000703,m,237
2009,Jayda,0.00069,f,237
2009,Troy,0.000701,m,238
2009,Kendra,0.000687,f,238
2009,Dalton,0.000696,m,239
2009,Kara,0.000686,f,239
2009,Zion,0.000694,m,240
2009,Leila,0.000686,f,240
2009,Brennan,0.000691,m,241
2009,Delaney,0.000686,f,241
2009,Harrison,0.000691,m,242
2009,Ryleigh,0.000684,f,242
2009,Marco,0.00069,m,243
2009,Makenna,0.000676,f,243
2009,Lukas,0.000683,m,244
2009,Cassidy,0.00067,f,244
2009,Xander,0.000682,m,245
2009,Brielle,0.000666,f,245
2009,Dominick,0.000679,m,246
2009,Nadia,0.000664,f,246
2009,Gregory,0.000673,m,247
2009,Camryn,0.000664,f,247
2009,Roberto,0.000668,m,248
2009,Callie,0.000654,f,248
2009,Maximus,0.000658,m,249
2009,Alina,0.000652,f,249
2009,Cash,0.000655,m,250
2009,Allyson,0.00065,f,250
2009,Dakota,0.000653,m,251
2009,Alaina,0.00065,f,251
2009,Silas,0.000649,m,252
2009,Harmony,0.00064,f,252
2009,Aden,0.000647,m,253
2009,Penelope,0.00064,f,253
2009,Easton,0.000645,m,254
2009,Kaydence,0.000635,f,254
2009,Malik,0.000641,m,255
2009,Abby,0.000633,f,255
2009,Johnny,0.000634,m,256
2009,Caitlyn,0.000632,f,256
2009,Ezra,0.000634,m,257
2009,Alice,0.00063,f,257
2009,Rafael,0.000633,m,258
2009,Fernanda,0.000629,f,258
2009,Quinn,0.000632,m,259
